objectid,parentid,title,photographer,date,date-is-approximate,description,item_information,postcard_type,subject,location,state,latitude,longitude,publisher,publisher_location,identifier,rights,source,rightsstatement,original format,type,format,language,filename,display_template,object_location,image_small,image_thumb
nwpostcards0,,Payette Lake,,1970,yes,"Postcard is of Payette Lake in Idaho | Payette Lake on North Fork of the Payette River, Idaho, is reached over Highway 15 from Boise or Highway 95. Wooded shore lines, crystal-clear water are characteristic of Idaho's vacation land jeweled with excellent fishing lakes and streams. Union Oil Company's Natural Color Scenes of the West. Tour the West this year with 76 gasoline.",,photographic postcards,mountains; lakes; trees; photographic postcards,"Payette Lake; McCall, Idaho",Idaho,44.966247,-116.058347,Union Oil Company,,postcard_002,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.5, Color",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_002.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_002_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_002_th.jpg
nwpostcards1,nwpostcards0,,,,,,,,,,,,,,,postcard_002,,,,,,image/jpeg,,postcard_002.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_002.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_002_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_002_th.jpg
nwpostcards2,nwpostcards0,,,,,,,,,,,,,,,postcard_002b,,,,,,image/jpeg,,postcard_002b.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_002b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_002b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_002b_th.jpg
nwpostcards3,,American Black Bear. A native to this area.,,1960,yes,Postcard of an American Black Bear | American Black Bear. A native to this area.,"written message; postage applied; Postmark: 8/27/1960, Klamath Falls, OR; Destination: Dallas, TX",photographic postcards,photographic postcards; Ursidae (family),,Idaho?,,,Security Lithograph Company,"San Francisco, CA",postcard_010,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.5, Color",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_010.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_010_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_010_th.jpg
nwpostcards4,nwpostcards3,,,,,,,,,,,,,,,postcard_010,,,,,,image/jpeg,,postcard_010.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_010.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_010_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_010_th.jpg
nwpostcards5,nwpostcards3,,,,,,,,,,,,,,,postcard_010b,,,,,,image/jpeg,,postcard_010b.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_010b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_010b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_010b_th.jpg
nwpostcards6,,"Moyie River Bridge, Highway 2",Ross Hall,1970,yes,"Postcard is of a bridge near the Moyie Dam near Bonners Ferry, Idaho. | Moyie River Bridge, Highway 2. Moyie River Bridge, 464 ft. high and 1222 ft. long, is located 9 miles northeast of Bonners Ferry on Hwy. 2. This exciting span was finished in 1965, a 3 year project. It is considered to be one of North Idaho's most spectacular highway views. The Bonners Ferry municipal powerhouse is seen at the base of turbulent Moyie Falls. Moyie Falls was a highly regarded scenic point before the bridge was built.",,photographic postcards,cantilever bridges; truss bridges; rivers; buildings; trees; mountains; photographic postcards,"Moyie River Canyon Bridge; Bonners Ferry, Idaho; Moyie Dam",Idaho,48.733635,-116.175733,Ross Hall Scenics,"Sandpoint, ID",postcard_104,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"5.875 x 4, Color",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_104.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_104_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_104_th.jpg
nwpostcards7,nwpostcards6,,,,,,,,,,,,,,,postcard_104,,,,,,image/jpeg,,postcard_104.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_104.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_104_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_104_th.jpg
nwpostcards8,nwpostcards6,,,,,,,,,,,,,,,postcard_104b,,,,,,image/jpeg,,postcard_104b.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_104b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_104b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_104b_th.jpg
nwpostcards9,,"Little Redfish, Big Redfish Lakes",J.H. Burnett,1970,yes,Postcard is of Little and Big Redfish Lakes in the Sawtooth Mountains in Idaho.  | Little Redfish - Big Redfish Lakes in the Sawtooth National Forest. Located in the Idaho Primitive Area. The Sawtooth Range is in the background. Camping and lodge facilities are available throughout the area.,,photographic postcards,lakes; mountains; trees; clouds; photographic postcards,"Redfish Lake; Stanley, Idaho; Sawtooth National Forest, Idaho",Idaho,44.178511,-114.897623,Northwest Curio & Postcard Co.,"Boise, ID",postcard_105,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.4375, Color",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_105.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_105_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_105_th.jpg
