objectid,title,creator,creators_title,date,description,interviewee,interviewer,subject,location,latitude,longitude,publisher,contributing_institution,source,identifier,rights,rightsstatement,format_original,type,format,language,filename,display_template,object_location,image_small,image_thumb
sbw000,Powell Ranger Station,Photographer Unknown,,1954-09-13,"Powell Ranger Station, Photographer Unknown, 1954-09-13",,,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.509942,-114.712207,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",R1EngrDiv Historical Facility Photo Files,R1EngrPics14b,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw000.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw000.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw000_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw000_th.jpg
sbw001,"O'Hara Ranger Station, Nez Perce National Forest",Photographer Unknown,,1981,"O'Hara Ranger Station, Nez Perce National Forest, Photographer Unknown, 1981",,,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.093829,-115.523672,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",R1EngrDiv Historical Facility Photo Files,R1EngrPics21b,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw001.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw001.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw001_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw001_th.jpg
sbw002,"Red River Ranger Station, Nez Perce National Forest, Built 1920","Wolff, M. H.",,1925,"Red River Ranger Station, Nez Perce National Forest, Built 1920, Wolff, M. H., 1925",,,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),45.709296,-115.343084,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",R1EngrDiv Historical Facility Photo Files,R1EngrPics35,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw002.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw002.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw002_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw002_th.jpg
sbw003,"Red River Ranger Station, Nez Perce National Forest, Built 1920",Photographer Unknown,,1935-07-18,"Red River Ranger Station, Nez Perce National Forest, Built 1920, Photographer Unknown, 1935-07-18",,,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),45.709296,-115.343084,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",R1EngrDiv Historical Facility Photo Files,R1EngrPics34,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw003.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw003.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw003_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw003_th.jpg
sbw004,"Red River Ranger Station, Nez Perce National Forest, Built 1920","Swan, K. D.",,1938,"Red River Ranger Station, Nez Perce National Forest, Built 1920, Swan, K. D., 1938",,,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),45.709296,-115.343084,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",R1EngrDiv Historical Facility Photo Files,R1EngrPics37,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw004.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw004.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw004_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw004_th.jpg
sbw005,"Red River Ranger Station, Nez Perce National Forest, Built 1920",Photographer Unknown,,1937,"Red River Ranger Station, Nez Perce National Forest, Built 1920, Photographer Unknown, 1937",,,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),45.709296,-115.343084,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",R1EngrDiv Historical Facility Photo Files,R1EngrPics36,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw005.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw005.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw005_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw005_th.jpg
sbw006,Moose Creek Ranger Station Commissary,"Walker, Richard",,1969,"Moose Creek Ranger Station Commissary, Walker, Richard, 1969",,,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.122749,-114.92878,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",R1EngrDiv Historical Facility Photo Files,moose_crk_commisary_1969,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw006.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw006.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw006_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw006_th.jpg
sbw007,Moose Creek Landing Strip,Photographer Unknown,,1936,"Moose Creek Landing Strip, Photographer Unknown, 1936",,,airstrip;,Selway-Bitterroot Wilderness (Idaho and Mont.),46.122749,-114.92878,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",R1EngrDiv Historical Facility Photo Files,moose_creek_landing_strip,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw007.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw007.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw007_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw007_th.jpg
sbw008,"Moose Creek Ranger Station, Bitterroot National Forest","Flint, R. S.",,1922-07-29,"Moose Creek Ranger Station, Bitterroot National Forest, Flint, R. S., 1922-07-29",,,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.122749,-114.92878,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",R1EngrDiv Historical Facility Photo Files,MooseCreek_1922,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw008.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw008.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw008_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw008_th.jpg
sbw009,"Allen Ranger Station, Bitterroot National Forest",Theo Shoemaker,,1924,"Allen Ranger Station, Bitterroot National Forest, Theo Shoemaker, 1924",,,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),45.702148,-114.716774,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",R1EngrDiv Historical Facility photo files,R1EngrPics1a,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,Image;StillImage,image/jpeg,eng,sbw009.jpg,image,https://objects.lib.uidaho.edu/sbw/sbw009.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw009_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw009_th.jpg
